 H=       0.000000000000000000 XMU=       0.000000000000000000 RR=    6378.136999999999716238 THETAR=       1.570796326794896558
 H=       0.000000000000000000 XMU=       0.000000000000000000 RR=    6378.136999999999716238 THETAR=       1.570796326794896558
 H=       0.000000000000000000 XMU=       0.000000000000000000 RR=    6378.136999999999716238 THETAR=       1.570796326794896558
 H=       0.000000000000000000 XMU=       0.000000000000000000 RR=    6378.136999999999716238 THETAR=       1.570796326794896558
 H=       0.000000000000000000 XMU=       0.000000000000000000 RR=    6378.136999999999716238 THETAR=       1.570796326794896558
 H=       0.000000000000000000 XMU=       0.523599999999999954 RR=    6372.824397713759935868 THETAR=       1.050099933796572849
 H=       0.000000000000000000 XMU=       0.523599999999999954 RR=    6372.824397713759935868 THETAR=       1.050099933796572849
 H=       0.000000000000000000 XMU=       0.523599999999999954 RR=    6372.824397713759935868 THETAR=       1.050099933796572849
 H=       0.000000000000000000 XMU=       0.523599999999999954 RR=    6372.824397713759935868 THETAR=       1.050099933796572849
 H=       0.000000000000000000 XMU=       0.523599999999999954 RR=    6372.824397713759935868 THETAR=       1.050099933796572849
 H=       0.000000000000000000 XMU=       1.047199999999999909 RR=    6362.132178855919846683 THETAR=       0.526509689372537948
 H=       0.000000000000000000 XMU=       1.047199999999999909 RR=    6362.132178855919846683 THETAR=       0.526509689372537948
 H=       0.000000000000000000 XMU=       1.047199999999999909 RR=    6362.132178855919846683 THETAR=       0.526509689372537948
 H=       0.000000000000000000 XMU=       1.047199999999999909 RR=    6362.132178855919846683 THETAR=       0.526509689372537948
 H=       0.000000000000000000 XMU=       1.047199999999999909 RR=    6362.132178855919846683 THETAR=       0.526509689372537948
 H=       0.000000000000000000 XMU=       1.570799999999999974 RR=    6356.752314245457455399 THETAR=       0.000003697950653934
 H=       0.000000000000000000 XMU=       1.570799999999999974 RR=    6356.752314245457455399 THETAR=       0.000003697950653934
 H=       0.000000000000000000 XMU=       1.570799999999999974 RR=    6356.752314245457455399 THETAR=       0.000003697950653934
 H=       0.000000000000000000 XMU=       1.570799999999999974 RR=    6356.752314245457455399 THETAR=       0.000003697950653934
 H=       0.000000000000000000 XMU=       1.570799999999999974 RR=    6356.752314245457455399 THETAR=       0.000003697950653934
 H=       0.000000000000000000 XMU=       0.785399999999999987 RR=    6367.489504589010721247 THETAR=       0.788754745512467048
 H=       0.000000000000000000 XMU=       0.785399999999999987 RR=    6367.489504589010721247 THETAR=       0.788754745512467048
 H=       0.000000000000000000 XMU=       0.785399999999999987 RR=    6367.489504589010721247 THETAR=       0.788754745512467048
 H=       0.000000000000000000 XMU=       0.785399999999999987 RR=    6367.489504589010721247 THETAR=       0.788754745512467048
 H=       0.000000000000000000 XMU=       0.785399999999999987 RR=    6367.489504589010721247 THETAR=       0.788754745512467048
 H=     100.000000000000000000 XMU=       0.000000000000000000 RR=    6478.136999999999716238 THETAR=       1.570796326794896558
 H=     100.000000000000000000 XMU=       0.000000000000000000 RR=    6478.136999999999716238 THETAR=       1.570796326794896558
 H=     100.000000000000000000 XMU=       0.000000000000000000 RR=    6478.136999999999716238 THETAR=       1.570796326794896558
 H=     100.000000000000000000 XMU=       0.000000000000000000 RR=    6478.136999999999716238 THETAR=       1.570796326794896558
 H=     100.000000000000000000 XMU=       0.000000000000000000 RR=    6478.136999999999716238 THETAR=       1.570796326794896558
 H=     100.000000000000000000 XMU=       0.523599999999999954 RR=    6472.823982679919026850 THETAR=       1.050055075432891227
 H=     100.000000000000000000 XMU=       0.523599999999999954 RR=    6472.823982679919026850 THETAR=       1.050055075432891227
 H=     100.000000000000000000 XMU=       0.523599999999999954 RR=    6472.823982679919026850 THETAR=       1.050055075432891227
 H=     100.000000000000000000 XMU=       0.523599999999999954 RR=    6472.823982679919026850 THETAR=       1.050055075432891227
 H=     100.000000000000000000 XMU=       0.523599999999999954 RR=    6472.823982679919026850 THETAR=       1.050055075432891227
 H=     100.000000000000000000 XMU=       1.047199999999999909 RR=    6462.131761039372577216 THETAR=       0.526464605821705511
